name,description
CraveLabs,"CraveLabs has built a white-labeled local advertising platform, marketed to local media publishers.  Our platform allows traditional and new media properties..."
Sakti Medical Systems,"Sakti provides diagnostic testing and clinical decision support to physicians treating chronic pain, addiction, and substance abuse."
Verbal Applications Inc,VerbalCare is a breakthrough communication solution for healthcare--delivering a unified means for conversation between patients and their care teams.
ONEighty C Technologies Corporation,"WAVEPulse Sterilization fragments proteins, providing high-performance sterilization of temperature-sensitive medical instruments such as endoscoopes."
"Blueprint Group, Inc.","Developing distressed real  estate, under-capitalized start-ups and under-performing established businesses into viable business assets."
Openbay,Openbay is car repair for today's world
Tomato Jos,Tomato Jos is a for-profit social enterprise based in Nigeria that produces high quality tomato paste and sources raw material from smallholder farmers.
Cultivate Counseling Center,"Cultivate Counseling Center is the first outpatient mental health center in the U.S., which moves therapy from a sterile office onto a farm, at a lower cost."
DAG System inc.,Complete RFID Ticketing System. SnowDAG: Ski Resort marketing and management platform. 3 Revenue Streams.
LearnLux,We help millennials learn personal finance skills through online learning tools and connect them to the resources they need to take action.
SquaQr,Mobile Customer engagement tool.
Amblyotech Inc.,"Amblyotech is using an iPad as a syringe to administer a novel therapy for the treatment of Amblyopia, a condition that affects 9 million people in the US."
tablr,"A flexible, easy-to-use, cost-effective table management system for iPad."
CivicArena,CivicArena makes it easy to take your passion and turn it into action by providing a platform that informs and empowers people to advocate.
Made It Applications,made it! prevents your loved ones from worrying by allowing you to automatically send them a text message based on your location.
StemCellerant,Accelerating the transition to personalized regenerative medicines
Drinkwell,Transforming the global water crisis into entrepreneurial opportunity.
Horsepower Technologies Inc.,Revolutionary technology solution that promotes rehabilitation and prevention of equine lameness
Verbal Applications Inc,VerbalCare is a breakthrough communication solution for healthcare--delivering a unified means for conversation between patients and their care teams.
tessolar inc.,"Integrated solar PV installation hardware dramatically reduces installed cost, for up to 35% lower cost of solar power."
"6SensorLabs, inc.",We are developing consumer products and networks to help people trust their food.  Our first product portable sensor that detects gluten in foods.  Our team ...
Etiometry Inc,"Etiometry is creating real-time, patient-specific predictive analytics to provide clinicians with early warning and decision support within hospitals."
"Meenta, Inc",Book spare capacity on idle scientific equipment
Stego,Stegosystems offers a fundamental advance in runtime cybersecurity to protect critcal information  systems and intellectual proerty.
MatchupBox,MatchUpBox is a secure transaction and communication platform where companies can use their clients’ personal data without collection.
"Overcome the Barrier, INC",We train native speakers how to use our platform and connect them with learners and keep 20% of teachers' earnings.
dba ROBIN'S CANDY,"When did you last visit  A REAL Candy Store?  jars of jaw breakers, bins of bonbons, wax lips, nik'l nips..been a while? Welcome to ROBIN's!"
Simply Coached,Simply Coached provides personalized management coaching software that your team will love!
The Universe and More,"We're making fun educational science games for teachers to use with their students in class, and for parents to give their kids at home. The STEM crisis in A..."
Mautic,"Powerful, intelligent and open marketing solution that gives every organization the power to grow their business in a meaningful way."
Crescent Innovations Inc.,"Crescent Innovations has developed a new, novel, and advanced hydrogel medical device candidate to treat osteoarthritis with the potential for greater efficacy."
Endotech Corporation,Endotech is poised to enter human clinical trials with our Endostaple technology t for treatment of Abdominal Aortic Aneurysm a leading cause of death in the US
IENION Inc.,"Ienion enables on-demand, secure, real-time, SaaS, HIPAA-compliant, e-Patient Info. Exchange among dental doctors within & across practices"
LinkCycle,Product level cost calculation without any data collection or hardware measurement. Reduce Costs! Improve Brand! Become Sustainable!
Openbay,Openbay is car repair for today's world
Understory Weather,Unique sensor networks delivering ground truth weather data and property-level damage analytics.
ViralGains,The ViralGains mission is to create authentic relationships between consumers and advertisers through the power of online video.
Inteygo,One card to replace all cards in wallet!
Armory Business Center,"Nine 1,876 sq. ft R&D/manufacturing units leasing at $12.85/sq. ft including CAM. The projected ROI is 15%-25% / year over the 5 to 7 year life of investment."
